ID,Start time,Completion time,Email,Name,What is your gender?,What is your age?,What is your current level of education?,What was the table about?,  When did you read this table?,How many times had you looked at that table before?,What did you do with the table?  Check all that apply,What kinds of tables do you usually look at on your phone? (check all that apply),What kind of Table is this survey asking about?,Reading tables on phones is generally,"If a table you want to read is hard to read on your phone, are you most likely to",What do you find hard about reading tables on your phone? (check all that apply),What would make it easier to look at tables on your phone?
283,6/9/21 11:10:09,6/9/21 11:12:22,anonymous,,Male,47,Bachelor's Degree,"Schedule (Bus, event calendar, time sheet, etc.)",In the last week,Once,Locate specific information;,"Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Neither Easy nor Hard,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,Have the table adjust based on making screen bigger or smaller.
284,6/9/21 11:09:27,6/9/21 11:13:32,anonymous,,Female,31,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,Once,Read the entire table word for word;Locate specific information;,Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Hard,Print out the table,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;,comfort to display of the phone
285,6/9/21 11:02:07,6/9/21 11:15:36,anonymous,,Male,23,Bachelor's Degree,"Schedule (Bus, event calendar, time sheet, etc.)",In the last day,More than once,Locate specific information;Edit the table;,"Finance / Money / Receipt / Invoice;Schedule (Bus, event calendar, time sheet, etc.);Product Specifications;",Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;,Specific formats for phones in wich I can look at all of the information at once
286,6/9/21 11:10:22,6/9/21 11:16:31,anonymous,,Female,30,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last month,Once,Read the entire table word for word;,"Restaurant Menu;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",A website that has lots of information on it,Neither Easy nor Hard,Give up and not read the table,Text is too small;,Should have enough space between words to read all information.
287,6/9/21 11:01:54,6/9/21 11:20:04,anonymous,,Female,25,High School Diploma or GED,Restaurant Menu,In the last week,Never,Locate specific information;,Restaurant Menu;Product Specifications;,Text/Numbers arranged in rows and columns,Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Text is too close together;,"Having a table that is already formatted to my device with the text being condensed in length, displayed larger and more spaced out."
288,6/9/21 11:16:31,6/9/21 11:20:14,anonymous,,Male,28,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;,Finance / Money / Receipt / Invoice;Product Specifications;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;Hard to tell what text is in what row;,It depends on my phone or screen size. The resolution of your equipment. And having a good an easy to use zoom function.
289,6/9/21 11:11:33,6/9/21 11:21:04,anonymous,,Male,27,Graduate Degree,Finance / Money / Receipt / Invoice,More than a month ago,More than once,Analyze/compare rows or columns;Locate specific information;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,"Download options where there would be tables adapted for these mobile devices, facilitating the observation of data."
290,6/9/21 11:20:09,6/9/21 11:26:41,anonymous,,Female,23,Graduate Student,Restaurant Menu,In the last day,More than once,Read the entire table word for word;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Schedule (Bus, event calendar, time sheet, etc.);Product Specifications;",About what kind of table I read on the phone.,Very Easy,Use your phone anyway,Text is too small;,"In fact on my phone, it's simple to read."
291,6/9/21 11:07:13,6/9/21 11:31:14,anonymous,,Male,35,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,More than a month ago,Once,Locate specific information;,"Restaurant Menu;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",A website that has lots of information on it,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,It would be better if the tables have well formatted with sufficient font size.
292,6/9/21 11:03:17,6/9/21 11:32:13,anonymous,,Male,31,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Read the entire table word for word;Analyze/compare rows or columns;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Can’t see all the information I need at the same time;,I can access the table quickly and would be able to show to others when it is in my phone.
293,6/9/21 11:29:28,6/9/21 11:32:36,anonymous,,Male,29,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,More than a month ago,Once,Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Can’t see all the information I need at the same time;,PDF file drive use to  
294,6/9/21 11:30:35,6/9/21 11:33:49,anonymous,,Female,35,High School Diploma or GED,Restaurant Menu,In the last week,Once,Locate specific information;,Restaurant Menu;Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Text is too close together;Table is too wide or too tall for screen;,If the table was mobile friendly
295,6/9/21 11:31:34,6/9/21 11:34:30,anonymous,,Male,24,Graduate Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Copy/paste text from the table;Locate specific information;Read the entire table word for word;,Finance / Money / Receipt / Invoice;,A piece of furniture with a flat top and one or more legs,Easy,Use your phone anyway,Table is too wide or too tall for screen;,the size of the device
296,6/9/21 11:15:00,6/9/21 11:35:03,anonymous,,Female,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Locate specific information;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;Product Specifications;Restaurant Menu;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Text is too close together;,zooming options
297,6/9/21 11:09:02,6/9/21 11:35:29,anonymous,,Male,20,High School Diploma or GED,Finance / Money / Receipt / Invoice,In the last day,Never,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Hard to tell what text is in what row;,a bigger screen
298,6/9/21 11:37:29,6/9/21 11:40:53,anonymous,,Female,27,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,Once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Hard,Print out the table,Can’t see all the information I need at the same time;,need better display
299,6/9/21 11:40:12,6/9/21 11:42:27,anonymous,,Male,43,Bachelor's Degree,Product Specifications,In the last week,Once,Read the entire table word for word;Copy/paste text from the table;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;Finance / Money / Receipt / Invoice;Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Table is too wide or too tall for screen;Hard to tell what text is in what row;,"All data tables have at least one independent variable and at least one dependent variable. If you are doing a science experiment, your data table should also have a control, something that will not change or be manipulated. The “control” in our heart rate example would be a resting heart rate."
300,6/9/21 11:35:55,6/9/21 11:43:13,anonymous,,Female,24,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Text is too close together;,zooming the table
301,6/9/21 11:39:13,6/9/21 11:46:55,anonymous,,Male,29,Bachelor's Degree,Finance / Money / Receipt / Invoice,More than a month ago,Once,Locate specific information;,Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;,If the column and/or row Labels followed each cell even if you zoom in. The ability to see the whole thing and still be able to read it. The ability to filter out different rows/columns that aren't useful or you don't need at the moment to condense the overall table for easier reading overall.
302,6/9/21 11:44:59,6/9/21 11:49:25,anonymous,,Male,45,Graduate Degree,"Schedule (Bus, event calendar, time sheet, etc.)",In the last day,More than once,Locate specific information;,"Schedule (Bus, event calendar, time sheet, etc.);Finance / Money / Receipt / Invoice;",Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too close together;,using professional tools to show the tables.
303,6/9/21 11:47:49,6/9/21 11:49:29,anonymous,,Female,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Text is too close together;,adjusting and zooming the table
304,6/9/21 11:50:04,6/9/21 11:51:06,anonymous,,Male,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Text is too close together;,changing the viewing direction
305,6/9/21 11:43:11,6/9/21 11:54:02,anonymous,,Male,54,AA,Finance / Money / Receipt / Invoice,In the last day,More than once,Locate specific information;,Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Text is too close together;,"I use it mostly for stocks, and crypto currency.  For me it would make it a lot easier if the tables were customizable.  I sometimes have to scroll through a lot of information I don't need to get to the info I do need, and because some of them are so cluttered, I sometimes miss something I needed to see.  Customization would get rid of a lot of hassle for me, save me time, and reduce mistakes."
306,6/9/21 11:48:23,6/9/21 11:56:11,anonymous,,Female,29,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Never,Locate specific information;,Restaurant Menu;Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,Give up and not read the table,Text is too small;Can’t see all the information I need at the same time;,"Higher quality text, ability to zoom in without losing context. "
307,6/9/21 11:55:10,6/9/21 12:00:12,anonymous,,Female,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Hard to tell what text is in what row;Text is too close together;,"VIEWING DIRECTION, ZOOMING THE TABLE"
308,6/9/21 11:56:14,6/9/21 12:00:45,anonymous,,Female,19,Bachelor's Degree,tv shows an actor was in,In the last week,Never,Locate specific information;,tv shows and movies some actor/actresses was in;,Text/Numbers arranged in rows and columns,Hard,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Hard to tell what text is in what row;,"if you could select what columns to appear, so the table wouldn't be unnecessarily wide and I would only see the information I need"
309,6/9/21 12:02:10,6/9/21 12:04:05,anonymous,,Female,31,High School Diploma or GED,Restaurant Menu,In the last week,Never,Read the entire table word for word;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;Can’t see all the information I need at the same time;,Having the table fit the screen of my phone without a lot of scrolling back and forth
310,6/9/21 12:06:48,6/9/21 12:07:54,anonymous,,Male,25,Bachelor's Degree,Restaurant Menu,In the last week,Once,Read the entire table word for word;Locate specific information;,Restaurant Menu;Finance / Money / Receipt / Invoice;,A piece of furniture with a flat top and one or more legs,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;,"Order markup exactly how a mobile or screen reader should read it, use semantic headers and content.
Abandon all concept of 'row' wrappers.
Set the width of each cell as a percentage based on number of columns or rows. Auto sizing column widths is not possible."
311,6/9/21 12:02:44,6/9/21 12:08:00,anonymous,,Female,27,Bachelor's Degree,Restaurant Menu,In the last week,Never,Locate specific information;Analyze/compare rows or columns;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Table is too wide or too tall for screen;Text is too small;,I'd be easier if the text was bigger so I wouldn't need to zoom so much.
312,6/9/21 12:07:54,6/9/21 12:09:18,anonymous,,Male,39,Graduate Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Analyze/compare rows or columns;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,There could be more options for zooming in and keeping the reading easy while it's zoomed.
313,6/9/21 12:09:12,6/9/21 12:10:53,anonymous,,Female,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Analyze/compare rows or columns;Locate specific information;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;Finance / Money / Receipt / Invoice;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Text is too close together;,zooming the particular information or changing the direction of the phone 
314,6/9/21 12:15:21,6/9/21 12:18:09,anonymous,,Male,27,Bachelor's Degree,Video game strategies,In the last month,Never,Locate specific information;Analyze/compare rows or columns;,Product Specifications;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Hard to tell what text is in what row;Hard to tell what text is in what column;Table is too wide or too tall for screen;,"It would be easier if the phone had a bigger screen, but otherwise I don't know how to make it easier to look at tables on phones."
315,6/9/21 12:13:27,6/9/21 12:19:27,anonymous,,Female,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Text is too close together;Hard to tell what text is in what row;,VIEWING DIRECTION
316,6/9/21 12:02:35,6/9/21 12:20:15,anonymous,,Female,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Text is too close together;Hard to tell what text is in what row;,ZOOMING THE TABLE
317,6/9/21 12:02:52,6/9/21 12:20:49,anonymous,,Female,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Text is too close together;Hard to tell what text is in what row;,VIEWING DIRECTION 
318,6/9/21 12:14:55,6/9/21 12:21:21,anonymous,,Female,53,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Read the entire table word for word;Analyze/compare rows or columns;Copy/paste text from the table;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Can’t see all the information I need at the same time;Text is too small;Text is too close together;Hard to tell what text is in what row;Table is too wide or too tall for screen;,Table is too wide or too tall for screen
319,6/9/21 12:11:54,6/9/21 12:23:25,anonymous,,Female,25,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Text is too close together;Hard to tell what text is in what row;,VIEWING DIRECTION
320,6/9/21 12:20:02,6/9/21 12:23:43,anonymous,,Male,26,Bachelor's Degree,Restaurant Menu,In the last week,More than once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;,Text/Numbers arranged in rows and columns,Very Easy,Give up and not read the table,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Text is too close together;,"better optimization, sometimes the lists are better on the phone that was created, when they go to another phone they are poorly optimized."
321,6/9/21 12:10:49,6/9/21 12:24:36,anonymous,,Female,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;Restaurant Menu;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Text is too close together;Hard to tell what text is in what row;,zooming the table
322,6/9/21 12:06:39,6/9/21 12:24:58,anonymous,,Female,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Text is too close together;Hard to tell what text is in what row;,VIEWING DIRECTION
323,6/9/21 12:07:22,6/9/21 12:25:28,anonymous,,Female,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Text is too close together;Hard to tell what text is in what row;,zooming the table 
324,6/9/21 12:20:01,6/9/21 12:27:27,anonymous,,Male,66,High School Diploma or GED,Product Specifications,In the last week,Once,Locate specific information;Copy/paste text from the table;,"Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Hard,Use your phone anyway,Table is too wide or too tall for screen;Text is too small;Text is too close together;,"If you clicked, or selected a part of the table, it would open up in a separate window with just that information that you selected. You would now have a clearer picture of the information.  When you close the new window, you would be brought back to the original table, where your selection is still highlighted.  You would then be able to select other parts of the table to view in a separate window.  And so on. "
325,6/9/21 12:32:49,6/9/21 12:33:35,anonymous,,Male,26,Graduate Degree,Restaurant Menu,In the last week,More than once,Copy/paste text from the table;Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;,numbers
326,6/9/21 13:22:36,6/9/21 13:28:01,anonymous,,Female,25,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Text is too close together;Hard to tell what text is in what row;,ZOOMING THE TABLE.
